,Effective Date,Local Code,Name (English),Name (Japanese),Section/Products,33 Sector(Code),33 Sector(name),17 Sector(Code),17 Sector(name),Size Code (New Index Series),Size (New Index Series)
1674,20210331,4528,"ONO PHARMACEUTICAL CO.,LTD.",小野薬品工業,First Section (Domestic),3250,Pharmaceutical,5,PHARMACEUTICAL ,2,TOPIX Large70
1683,20210331,4543,TERUMO CORPORATION,テルモ,First Section (Domestic),3750,Precision Instruments,9,ELECTRIC APPLIANCES & PRECISION INSTRUMENTS ,2,TOPIX Large70
1699,20210331,4568,"DAIICHI SANKYO COMPANY,LIMITED",第一三共,First Section (Domestic),3250,Pharmaceutical,5,PHARMACEUTICAL ,1,TOPIX Core30
1708,20210331,4578,"Otsuka Holdings Co.,Ltd.",大塚ホールディングス,First Section (Domestic),3250,Pharmaceutical,5,PHARMACEUTICAL ,2,TOPIX Large70
1757,20210331,4661,"ORIENTAL LAND CO.,LTD.",オリエンタルランド,First Section (Domestic),9050,Services,10,"IT & SERVICES, OTHERS ",2,TOPIX Large70
1777,20210331,4689,Z Holdings Corporation,Ｚホールディングス,First Section (Domestic),5250,Information & Communication,10,"IT & SERVICES, OTHERS ",2,TOPIX Large70
1862,20210331,4901,FUJIFILM Holdings Corporation,富士フイルムホールディングス,First Section (Domestic),3200,Chemicals,4,RAW MATERIALS & CHEMICALS ,2,TOPIX Large70
1864,20210331,4911,"Shiseido Company,Limited",資生堂,First Section (Domestic),3200,Chemicals,4,RAW MATERIALS & CHEMICALS ,2,TOPIX Large70
1926,20210331,5020,"ENEOS Holdings,Inc.",ＥＮＥＯＳホールディングス,First Section (Domestic),3300,Oil and Coal Products,2,ENERGY RESOURCES ,2,TOPIX Large70
1936,20210331,5108,BRIDGESTONE CORPORATION,ブリヂストン,First Section (Domestic),3350,Rubber Products,6,AUTOMOBILES & TRANSPORTATION EQUIPMENT ,2,TOPIX Large70
2010,20210331,5401,NIPPON STEEL CORPORATION,日本製鉄,First Section (Domestic),3450,Iron and Steel,7,STEEL & NONFERROUS METALS ,2,TOPIX Large70
2058,20210331,5713,"Sumitomo Metal Mining Co.,Ltd.",住友金属鉱山,First Section (Domestic),3500,Nonferrous Metals,7,STEEL & NONFERROUS METALS ,2,TOPIX Large70
2072,20210331,5802,"Sumitomo Electric Industries,Ltd.",住友電気工業,First Section (Domestic),3500,Nonferrous Metals,7,STEEL & NONFERROUS METALS ,2,TOPIX Large70
2217,20210331,6098,"Recruit Holdings Co.,Ltd.",リクルートホールディングス,First Section (Domestic),9050,Services,10,"IT & SERVICES, OTHERS ",1,TOPIX Core30
2259,20210331,6178,"JAPAN POST HOLDINGS Co.,Ltd.",日本郵政,First Section (Domestic),9050,Services,10,"IT & SERVICES, OTHERS ",2,TOPIX Large70
2319,20210331,6273,SMC CORPORATION,ＳＭＣ,First Section (Domestic),3600,Machinery,8,MACHINERY ,2,TOPIX Large70
2337,20210331,6301,KOMATSU LTD.,小松製作所,First Section (Domestic),3600,Machinery,8,MACHINERY ,2,TOPIX Large70
2354,20210331,6326,KUBOTA CORPORATION,クボタ,First Section (Domestic),3600,Machinery,8,MACHINERY ,2,TOPIX Large70
2386,20210331,6367,"DAIKIN INDUSTRIES,LTD.",ダイキン工業,First Section (Domestic),3600,Machinery,8,MACHINERY ,1,TOPIX Core30
2471,20210331,6501,"Hitachi,Ltd.",日立製作所,First Section (Domestic),3650,Electric Appliances,9,ELECTRIC APPLIANCES & PRECISION INSTRUMENTS ,1,TOPIX Core30
2473,20210331,6503,Mitsubishi Electric Corporation,三菱電機,First Section (Domestic),3650,Electric Appliances,9,ELECTRIC APPLIANCES & PRECISION INSTRUMENTS ,2,TOPIX Large70
2535,20210331,6594,NIDEC CORPORATION,日本電産,First Section (Domestic),3650,Electric Appliances,9,ELECTRIC APPLIANCES & PRECISION INSTRUMENTS ,1,TOPIX Core30
2594,20210331,6702,FUJITSU LIMITED,富士通,First Section (Domestic),3650,Electric Appliances,9,ELECTRIC APPLIANCES & PRECISION INSTRUMENTS ,2,TOPIX Large70
2620,20210331,6752,Panasonic Corporation,パナソニック,First Section (Domestic),3650,Electric Appliances,9,ELECTRIC APPLIANCES & PRECISION INSTRUMENTS ,2,TOPIX Large70
2625,20210331,6758,SONY CORPORATION,ソニー,First Section (Domestic),3650,Electric Appliances,9,ELECTRIC APPLIANCES & PRECISION INSTRUMENTS ,1,TOPIX Core30
2681,20210331,6861,KEYENCE CORPORATION,キーエンス,First Section (Domestic),3650,Electric Appliances,9,ELECTRIC APPLIANCES & PRECISION INSTRUMENTS ,1,TOPIX Core30
2687,20210331,6869,SYSMEX CORPORATION,シスメックス,First Section (Domestic),3650,Electric Appliances,9,ELECTRIC APPLIANCES & PRECISION INSTRUMENTS ,2,TOPIX Large70
2703,20210331,6902,DENSO CORPORATION,デンソー,First Section (Domestic),3700,Transportation Equipment,6,AUTOMOBILES & TRANSPORTATION EQUIPMENT ,2,TOPIX Large70
2733,20210331,6954,FANUC CORPORATION,ファナック,First Section (Domestic),3650,Electric Appliances,9,ELECTRIC APPLIANCES & PRECISION INSTRUMENTS ,1,TOPIX Core30
2746,20210331,6971,KYOCERA CORPORATION,京セラ,First Section (Domestic),3650,Electric Appliances,9,ELECTRIC APPLIANCES & PRECISION INSTRUMENTS ,2,TOPIX Large70
2750,20210331,6981,"Murata Manufacturing Co.,Ltd.",村田製作所,First Section (Domestic),3650,Electric Appliances,9,ELECTRIC APPLIANCES & PRECISION INSTRUMENTS ,1,TOPIX Core30
2764,20210331,7011,"Mitsubishi Heavy Industries,Ltd.",三菱重工業,First Section (Domestic),3600,Machinery,8,MACHINERY ,2,TOPIX Large70
2864,20210331,7201,"NISSAN MOTOR CO.,LTD.",日産自動車,First Section (Domestic),3700,Transportation Equipment,6,AUTOMOBILES & TRANSPORTATION EQUIPMENT ,2,TOPIX Large70
2866,20210331,7203,TOYOTA MOTOR CORPORATION,トヨタ自動車,First Section (Domestic),3700,Transportation Equipment,6,AUTOMOBILES & TRANSPORTATION EQUIPMENT ,1,TOPIX Core30
2904,20210331,7267,"HONDA MOTOR CO.,LTD.",本田技研工業,First Section (Domestic),3700,Transportation Equipment,6,AUTOMOBILES & TRANSPORTATION EQUIPMENT ,1,TOPIX Core30
2906,20210331,7269,SUZUKI MOTOR CORPORATION,スズキ,First Section (Domestic),3700,Transportation Equipment,6,AUTOMOBILES & TRANSPORTATION EQUIPMENT ,2,TOPIX Large70
2907,20210331,7270,SUBARU CORPORATION,ＳＵＢＡＲＵ,First Section (Domestic),3700,Transportation Equipment,6,AUTOMOBILES & TRANSPORTATION EQUIPMENT ,2,TOPIX Large70
2928,20210331,7309,SHIMANO INC.,シマノ,First Section (Domestic),3700,Transportation Equipment,6,AUTOMOBILES & TRANSPORTATION EQUIPMENT ,2,TOPIX Large70
3142,20210331,7733,OLYMPUS CORPORATION,オリンパス,First Section (Domestic),3750,Precision Instruments,9,ELECTRIC APPLIANCES & PRECISION INSTRUMENTS ,2,TOPIX Large70
3147,20210331,7741,HOYA CORPORATION,ＨＯＹＡ,First Section (Domestic),3750,Precision Instruments,9,ELECTRIC APPLIANCES & PRECISION INSTRUMENTS ,1,TOPIX Core30
3155,20210331,7751,CANON INC.,キヤノン,First Section (Domestic),3650,Electric Appliances,9,ELECTRIC APPLIANCES & PRECISION INSTRUMENTS ,2,TOPIX Large70
3197,20210331,7832,BANDAI NAMCO Holdings Inc.,バンダイナムコホールディングス,First Section (Domestic),3800,Other Products,10,"IT & SERVICES, OTHERS ",2,TOPIX Large70
3290,20210331,7974,"Nintendo Co.,Ltd.",任天堂,First Section (Domestic),3800,Other Products,10,"IT & SERVICES, OTHERS ",1,TOPIX Core30
3310,20210331,8001,ITOCHU Corporation,伊藤忠商事,First Section (Domestic),6050,Wholesale Trade,13,COMMERCIAL & WHOLESALE TRADE ,1,TOPIX Core30
3311,20210331,8002,Marubeni Corporation,丸紅,First Section (Domestic),6050,Wholesale Trade,13,COMMERCIAL & WHOLESALE TRADE ,2,TOPIX Large70
3329,20210331,8031,"MITSUI & CO.,LTD.",三井物産,First Section (Domestic),6050,Wholesale Trade,13,COMMERCIAL & WHOLESALE TRADE ,1,TOPIX Core30
3331,20210331,8035,Tokyo Electron Limited,東京エレクトロン,First Section (Domestic),3650,Electric Appliances,9,ELECTRIC APPLIANCES & PRECISION INSTRUMENTS ,2,TOPIX Large70
3343,20210331,8053,"SUMITOMO CORPORATION (SUMITOMO SHOJI KAISHA,LTD.)",住友商事,First Section (Domestic),6050,Wholesale Trade,13,COMMERCIAL & WHOLESALE TRADE ,2,TOPIX Large70
3346,20210331,8058,Mitsubishi Corporation,三菱商事,First Section (Domestic),6050,Wholesale Trade,13,COMMERCIAL & WHOLESALE TRADE ,1,TOPIX Core30
3381,20210331,8113,UNICHARM CORPORATION,ユニ・チャーム,First Section (Domestic),3200,Chemicals,4,RAW MATERIALS & CHEMICALS ,2,TOPIX Large70
3457,20210331,8267,"AEON CO.,LTD.",イオン,First Section (Domestic),6100,Retail Trade,14,RETAIL TRADE ,2,TOPIX Large70
3474,20210331,8306,"Mitsubishi UFJ Financial Group,Inc.",三菱ＵＦＪフィナンシャル・グループ,First Section (Domestic),7050,Banks,15,BANKS ,1,TOPIX Core30
3475,20210331,8308,"Resona Holdings, Inc.",りそなホールディングス,First Section (Domestic),7050,Banks,15,BANKS ,2,TOPIX Large70
3476,20210331,8309,"Sumitomo Mitsui Trust Holdings,Inc.",三井住友トラスト・ホールディングス,First Section (Domestic),7050,Banks,15,BANKS ,2,TOPIX Large70
3477,20210331,8316,"Sumitomo Mitsui Financial Group,Inc.",三井住友フィナンシャルグループ,First Section (Domestic),7050,Banks,15,BANKS ,1,TOPIX Core30
3521,20210331,8411,"Mizuho Financial Group,Inc.",みずほフィナンシャルグループ,First Section (Domestic),7050,Banks,15,BANKS ,1,TOPIX Core30
3553,20210331,8591,ORIX CORPORATION,オリックス,First Section (Domestic),7200,Other Financing Business,16,FINANCIALS （EX BANKS） ,2,TOPIX Large70
3558,20210331,8601,Daiwa Securities Group Inc.,大和証券グループ本社,First Section (Domestic),7100,Securities and Commodities Futures,16,FINANCIALS （EX BANKS） ,2,TOPIX Large70
3559,20210331,8604,"Nomura Holdings, Inc.",野村ホールディングス,First Section (Domestic),7100,Securities and Commodities Futures,16,FINANCIALS （EX BANKS） ,2,TOPIX Large70
3568,20210331,8630,"Sompo Holdings,Inc.",ＳＯＭＰＯホールディングス,First Section (Domestic),7150,Insurance,16,FINANCIALS （EX BANKS） ,2,TOPIX Large70
3569,20210331,8697,"Japan Exchange Group,Inc.",日本取引所グループ,First Section (Domestic),7200,Other Financing Business,16,FINANCIALS （EX BANKS） ,2,TOPIX Large70
3581,20210331,8725,"MS&AD Insurance Group Holdings,Inc.",ＭＳ＆ＡＤインシュアランスグループホールディングス,First Section (Domestic),7150,Insurance,16,FINANCIALS （EX BANKS） ,2,TOPIX Large70
3589,20210331,8750,"Dai-ichi Life Holdings,Inc.",第一生命ホールディングス,First Section (Domestic),7150,Insurance,16,FINANCIALS （EX BANKS） ,2,TOPIX Large70
3590,20210331,8766,"Tokio Marine Holdings,Inc.",東京海上ホールディングス,First Section (Domestic),7150,Insurance,16,FINANCIALS （EX BANKS） ,1,TOPIX Core30
3599,20210331,8801,"Mitsui Fudosan Co.,Ltd.",三井不動産,First Section (Domestic),8050,Real Estate,17,REAL ESTATE ,2,TOPIX Large70
3600,20210331,8802,"Mitsubishi Estate Company,Limited",三菱地所,First Section (Domestic),8050,Real Estate,17,REAL ESTATE ,2,TOPIX Large70
3605,20210331,8830,"Sumitomo Realty & Development Co.,Ltd.",住友不動産,First Section (Domestic),8050,Real Estate,17,REAL ESTATE ,2,TOPIX Large70
3694,20210331,9020,East Japan Railway Company,東日本旅客鉄道,First Section (Domestic),5050,Land Transportation,12,TRANSPORTATION & LOGISTICS ,2,TOPIX Large70
3695,20210331,9021,West Japan Railway Company,西日本旅客鉄道,First Section (Domestic),5050,Land Transportation,12,TRANSPORTATION & LOGISTICS ,2,TOPIX Large70
3696,20210331,9022,Central Japan Railway Company,東海旅客鉄道,First Section (Domestic),5050,Land Transportation,12,TRANSPORTATION & LOGISTICS ,1,TOPIX Core30
3760,20210331,9202,ANA HOLDINGS INC.,ＡＮＡホールディングス,First Section (Domestic),5150,Air Transportation,12,TRANSPORTATION & LOGISTICS ,2,TOPIX Large70
3850,20210331,9432,NIPPON TELEGRAPH AND TELEPHONE CORPORATION,日本電信電話,First Section (Domestic),5250,Information & Communication,10,"IT & SERVICES, OTHERS ",1,TOPIX Core30
3851,20210331,9433,KDDI CORPORATION,ＫＤＤＩ,First Section (Domestic),5250,Information & Communication,10,"IT & SERVICES, OTHERS ",1,TOPIX Core30
3852,20210331,9434,SoftBank Corp.,ソフトバンク,First Section (Domestic),5250,Information & Communication,10,"IT & SERVICES, OTHERS ",2,TOPIX Large70
3874,20210331,9502,"Chubu Electric Power Company,Incorporated",中部電力,First Section (Domestic),4050,Electric Power and Gas,11,ELECTRIC POWER & GAS ,2,TOPIX Large70
3875,20210331,9503,"The Kansai Electric Power Company,Incorporated",関西電力,First Section (Domestic),4050,Electric Power and Gas,11,ELECTRIC POWER & GAS ,2,TOPIX Large70
3887,20210331,9531,"TOKYO GAS CO.,LTD.",東京瓦斯,First Section (Domestic),4050,Electric Power and Gas,11,ELECTRIC POWER & GAS ,2,TOPIX Large70
3968,20210331,9735,"SECOM CO.,LTD.",セコム,First Section (Domestic),9050,Services,10,"IT & SERVICES, OTHERS ",2,TOPIX Large70
4018,20210331,9843,"Nitori Holdings Co.,Ltd.",ニトリホールディングス,First Section (Domestic),6100,Retail Trade,14,RETAIL TRADE ,2,TOPIX Large70
4084,20210331,9983,"FAST RETAILING CO.,LTD.",ファーストリテイリング,First Section (Domestic),6100,Retail Trade,14,RETAIL TRADE ,2,TOPIX Large70
4085,20210331,9984,SoftBank Group Corp.,ソフトバンクグループ,First Section (Domestic),5250,Information & Communication,10,"IT & SERVICES, OTHERS ",1,TOPIX Core30
